zip,County Name,2010_pop,2015_pop,%pop_change,%pop_size,med_age,HS_higher,med_inc,pov_level,,,,,,
11697,Queens,4079,4006,-0.02,0.000,44.7,0.97,93333,0.04,,,,,,
11695,Queens,,,,,,,,,,,,,,
11694,Queens,20408,20773,0.02,0.002,45.1,0.88,75094,0.06,,,,,,
11693,Queens,11916,11194,-0.06,0.001,40.6,0.83,53281,0.20,,,,,,
11692,Queens,18540,18955,0.02,0.002,35.6,0.74,42127,0.22,,,,,,
11691,Queens,60035,63989,0.07,0.007,32.4,0.71,42023,0.23,,,,,,
11690,Queens,,,,,,,,,,,,,,
11580,Queens,40113,42765,0.07,0.005,39.3,0.89,90536,0.07,,,,,,
11559,Queens,8176,8403,0.03,0.001,39.9,0.93,115252,0.04,,,,,,
11499,Queens,,,,,,,,,,,,,,
11451,Queens,,,,,,,,,,,,,,
11439,Queens,,,,,,,,,,,,,,
11436,Queens,17949,19425,0.08,0.002,35.1,0.82,64005,0.14,,,,,,
11435,Queens,53687,55323,0.03,0.006,35.3,0.77,52686,0.19,,,,,,
11434,Queens,59129,65892,0.11,0.008,36.6,0.86,58076,0.13,,,,,,
11433,Queens,32687,34111,0.04,0.004,33.6,0.77,42964,0.22,,,,,,
11432,Queens,60809,63533,0.04,0.007,34.8,0.78,50702,0.20,,,,,,
11431,Queens,,,,,,,,,,,,,,
11430,Queens,184,186,0.01,0.000,42.3,0.70,,0.83,,,,,,
11429,Queens,25105,26362,0.05,0.003,39.6,0.84,68684,0.12,,,,,,
11428,Queens,19168,19744,0.03,0.002,40.2,0.81,67151,0.12,,,,,,
11427,Queens,23593,23568,0.00,0.003,41.6,0.85,66007,0.09,,,,,,
11426,Queens,17590,19842,0.13,0.002,38.5,0.89,77146,0.10,,,,,,
11425,Queens,,,,,,,,,,,,,,
11424,Queens,,,,,,,,,,,,,,
11423,Queens,29987,31982,0.07,0.004,40.3,0.80,62179,0.10,,,,,,
11422,Queens,30425,33245,0.09,0.004,35.1,0.89,84955,0.09,,,,,,
11421,Queens,39127,43024,0.10,0.005,35.8,0.76,60996,0.14,,,,,,
11420,Queens,44354,50820,0.15,0.006,37,0.75,59660,0.13,,,,,,
11419,Queens,47211,49306,0.04,0.006,35.9,0.73,58266,0.17,,,,,,
11418,Queens,36256,39308,0.08,0.005,34.5,0.75,61480,0.17,,,,,,
11417,Queens,28967,32415,0.12,0.004,36.7,0.78,62057,0.16,,,,,,
11416,Queens,24861,26625,0.07,0.003,33.6,0.75,58392,0.18,,,,,,
11415,Queens,19341,19403,0.00,0.002,36.8,0.90,63756,0.10,,,,,,
11414,Queens,26148,28700,0.10,0.003,45.5,0.85,68374,0.09,,,,,,
11413,Queens,38912,42560,0.09,0.005,38.4,0.88,81287,0.07,,,,,,
11412,Queens,34882,37832,0.08,0.004,40.1,0.87,72458,0.09,,,,,,
